SpeciesName,mean_H_dorsal,mean_S_dorsal,mean_V_dorsal,mean_H_ventral,mean_S_ventral,mean_V_ventral,n_individuals,potentially_structural_dorsal,potentially_structural_ventral
Pterostichus novus,101.98436536706573,0.0753877667543792,50.04886842105263,24.230020459313767,0.11687018520895764,50.71665789473684,76,FALSE,FALSE
Pterostichus pensylvanicus,15.97164303586321,0.2345117598161459,61.353,17.814200570095885,0.2557153270161023,60.364,1,FALSE,FALSE
Pterostichus permundus,245.02750610307376,0.07938466700852609,47.76285714285714,301.08573813933833,0.09714927337888486,48.380714285714284,7,FALSE,FALSE
Pterostichus sculptus,90.11002518470643,0.0976613561815025,54.04857142857143,42.63863315670405,0.16128258299211223,54.68890476190476,21,FALSE,FALSE
Pterostichus stygicus,111.32034815401727,0.08312486228343957,53.84764,67.62392997871669,0.12305909148652926,53.66274,50,FALSE,FALSE
Pterostichus trinarius,68.27053700291985,0.08614216903015887,50.96509090909091,72.98913256826505,0.1155774541220445,49.70336363636363,11,FALSE,FALSE
Scarites subterraneus,268.50759848224806,0.08292695117119642,54.44017073170732,22.10893602926948,0.14164488253638707,50.809512195121954,41,FALSE,FALSE
Selenophorus planipennis,19.58761906179231,0.14408079501382443,71.37738028169014,17.603957760367436,0.21887831440269404,68.07618309859156,71,FALSE,FALSE
Sphaeroderus stenostomus lecontei,4.569275258968604,0.07708177204901566,53.91466666666667,15.11985941528296,0.153151312997909,55.574333333333335,3,FALSE,FALSE
Syntomus americanus,23.133955684305626,0.15285683402166525,75.22675,22.980056003675557,0.18295123352403037,75.7822,20,FALSE,FALSE
Synuchus impunctatus,14.361226388771659,0.19643044654645478,62.18122651933702,16.730872297673017,0.28253697345150935,66.85281767955802,181,FALSE,FALSE
Tetracha virginica,35.02762579163522,0.2537715274906446,84.18984615384615,23.752044962784705,0.3662153911564602,88.64723076923077,13,FALSE,TRUE
